unit,department,short_label,label,budget_2022,budget_2023,budget_2024
m,Other Economic Affairs,Citizenship & Visas,"Citizenship, visas and migration",891,860,945
m,Other Economic Affairs,Industry Operating Costs,"Department of Industry, Science and Resources",696,701,775
m,Other Economic Affairs,Industrial relations,Industrial relations,797,893,1086
m,Other Economic Affairs,IP Australia,IP Australia,241,248,269
m,Other Economic Affairs,Labour market assistance,Labour market assistance to job seekers and industry,2214,2348,2411
m,Other Economic Affairs,Unlawful non-citizens,Management of unlawful non-citizens,1884,1833,1732
m,Other Economic Affairs,Other economic affairs,Other economic affairs nec,148,152,174
m,Other Economic Affairs,Export Promotion,Promotion of Australia’s export and other international economic interests,471,449,456
m,Other Economic Affairs,Humanitarian aid,Regional co-operation and refugee and humanitarian assistance,898,838,1022
m,Other Economic Affairs,Tourism promotion,Tourism and area promotion,208,184,192
m,Other Economic Affairs,Vocational training,Vocational and industry training,4511,2309,2384
m,Other Purposes,Reserve funds,Contingency reserve,449,-56,167
m,Other Purposes,States & territories assistance,General revenue assistance - states and territories,88021,92470,94412
m,Other Purposes,Local government assistance,Local government assistance,1820,3476,3583
m,Other Purposes,Disaster relief,Natural disaster relief,3533,1610,921
m,Other Purposes,Superannuation interest,Nominal superannuation interest,12334,13631,14620
m,Other Purposes,Debt interest,Public debt interest,22152,22611,24107
m,Public Order And Safety,Border Protection,Border protection,1610,1590,1957
m,Public Order And Safety,Legal Services,Courts and legal services,1747,1754,1894
m,Public Order And Safety,Policing,Policing and law enforcement,4027,4090,4571
m,Recreation And Culture,ABC Operations,ABC general operational activities,976,989,1042
m,Recreation And Culture,ABC Transmission,ABC transmission and distribution services,194,202,207
m,Recreation And Culture,Arts Heritage,Arts and cultural heritage,1835,1869,2140
m,Recreation And Culture,National Parks,National estate and parks,686,680,774
m,Recreation And Culture,SBS Operations,SBS general operational activities,437,402,421
m,Recreation And Culture,SBS Transmission,SBS transmission and distribution services,74,78,79
m,Recreation And Culture,Sport Recreation,Sport and recreation,638,556,708
m,Social Security And Welfare,Access Info,Access and information,646,637,739
m,Social Security And Welfare,Aged Care Quality,Aged Care Quality,1223,1504,541
m,Social Security And Welfare,Aged Care,Aged Care Services,26900,32668,36150
m,Social Security And Welfare,Indigenous assistance,Assistance for Indigenous Australians nec,2872,3049,3399
m,Social Security And Welfare,Unemployed/Sick,Assistance to the unemployed and the sick,13867,13830,16100
m,Social Security And Welfare,Veterans,Assistance to veterans and dependants,7741,8385,7982
m,Social Security And Welfare,Child Care,Child Care Subsidy,10626,12716,14531
m,Social Security And Welfare,Child Support,Child Support,1834,1886,1923
m,Social Security And Welfare,Families,Families and Children,746,926,1065
m,Social Security And Welfare,Family Assistance,Family Assistance,19872,21460,20742
m,Social Security And Welfare,Relationship services,Family relationship services,252,267,275
m,Social Security And Welfare,Carer Support,Financial Support for Carers,12318,13213,13419
m,Social Security And Welfare,Disability Support,Financial Support for People with Disability,19392,21043,22003
m,Social Security And Welfare,Admin,General social welfare administration,208,4630,5388
m,Social Security And Welfare,NDIS,National Disability Insurance Scheme – Quality and Safeguards,90,139,161
m,Social Security And Welfare,NDIS Quality,National Disability Insurance Scheme,36654,41922,48752
m,Social Security And Welfare,Disability support,National Partnership Payments – Assistance to People with Disabilities,975,2015,7
m,Social Security And Welfare,National Partnership Aged,National Partnership Payments – Assistance to the Aged,34,30,216
m,Social Security And Welfare,Other families,Other assistance to families with children,20,20,23
m,Social Security And Welfare,Other aged care,Other assistance to the aged,226,283,336
m,Social Security And Welfare,Other Medical Services,Other welfare programs,2700,1717,1897
m,Social Security And Welfare,Parent Support,Parents income support,5918,7501,7911
m,Social Security And Welfare,Seniors Support,Support for Seniors,54873,59192,61672
m,Social Security And Welfare,Child care system,Support for the child care system,355,348,460
m,Social Security And Welfare,Veterans Care,Veterans’ Community Care and Support,942,899,999
m,Transport And Communication,Air,Air transport,432,448,465
m,Transport And Communication,Communication,Communication,1627,1924,1927
m,Transport And Communication,Other transport,Other transport and communication,242,261,360
m,Transport And Communication,Rail,Rail transport,3035,4065,3814
m,Transport And Communication,Road,Road transport,7663,10337,9707
m,Transport And Communication,Sea,Sea transport,461,473,496
